Gender,Age,Goal,Height,Weight,Activitylevel,BMI,EDCN,Carbohydrate,Total Fiber ,Protein,Fat,Total Water ,Vitamin A,Vitamin C ,Vitamin D ,Vitamin B6 ,Vitamin E ,Vitamin K ,Vitamin B12 ,Calcium  ,Chloride ,Fluoride,Iron ,Magnesium ,Potassium ,Zinc ,CalciumT,IronT,ZincT
1,20,1,187,112,1.4,32,3590,493,50,90,110,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,14,1,154,49,1.6,20.7,2636,362,37,42,88,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,13,1,149,50,1.9,22.5,2855,392,40,48,95,2.4,0.6,45,0.015,1,11,0.06,0.0018,1300,2300,2,8,240,2500,8,3000,40,23
1,13,1,139,39,1.6,20.2,2242,308,31,37,74,2.4,0.6,45,0.015,1,11,0.06,0.0018,1300,2300,2,8,240,2500,8,3000,40,23
1,15,1,158,63,1.4,25.2,2734,376,38,54,92,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,15,1,167,63,1.9,22.6,3437,473,48,54,114,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,15,1,149,47,1.4,21.2,2332,320,33,40,78,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,15,1,157,37,1.9,15,2678,368,37,31,89,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,15,1,147,62,1.4,28.7,2619,360,37,53,87,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,15,1,155,46,1.6,19.1,2590,356,36,39,86,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,16,1,160,48,1.6,18.8,2698,371,38,41,90,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,16,1,153,43,1.9,18.4,2760,380,39,37,92,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,16,1,155,53,1.4,22.1,2509,345,35,45,84,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,17,1,166,52,1.6,18.9,2860,393,40,44,95,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,17,1,161,59,1.4,22.8,2686,369,38,50,89,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,17,1,164,68,1.6,25.3,3162,435,44,58,105,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,18,1,170,83,1.4,28.7,3254,447,46,71,108,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,18,1,176,71,1.6,22.9,3379,464,47,60,112,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,18,1,169,59,1.9,20.7,3385,465,47,50,113,3.3,0.9,75,0.015,1.3,15,0.075,0.0024,1300,2300,3,11,410,3000,11,3000,45,34
1,19,1,189,96,1.9,26.9,4061,558,57,77,124,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,19,1,180,72,1.6,22.2,3118,429,44,58,95,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,19,1,176,83,1.9,26.8,3610,496,51,66,110,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,19,1,184,63,1.6,18.6,3001,413,42,50,92,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,20,1,179,69,1.4,21.5,2881,396,40,55,88,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,20,1,197,98,1.9,25.3,4213,579,59,78,129,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,21,1,165,94,1.4,34.5,3128,430,44,75,96,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,21,1,174,59,1.9,19.5,3098,426,43,47,94,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,22,1,181,99,1.9,30.2,3961,545,55,79,121,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,23,1,169,66,1.4,23.1,2721,374,38,53,83,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,24,1,183,75,1.6,22.4,3131,430,44,60,96,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,26,1,187,118,1.4,33.7,3615,497,51,94,110,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,27,1,198,82,1.9,20.9,3848,529,54,66,118,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,28,1,178,71,1.6,22.4,2992,411,42,57,91,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,29,1,184,91,1.9,26.9,3779,519,53,73,115,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,30,1,191,101,1.9,27.7,4069,559,57,81,124,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,31,1,181,73,1.4,22.3,2839,390,40,58,86,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,32,1,202,104,1.6,25.5,3630,499,51,83,111,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,34,1,174,68,1.9,22.5,3130,430,44,54,96,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,36,1,181,76,1.6,23.2,3004,413,42,61,92,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,38,1,190,95,1.6,26.3,3344,459,47,76,102,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,40,1,179,74,1.9,23.1,3257,447,46,59,99,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,41,1,186,87,1.6,25.1,3158,434,44,70,96,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,43,1,181,97,1.6,29.6,3263,448,46,78,100,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,45,1,175,86,1.4,28.1,2831,389,40,69,86,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,47,1,180,78,1.4,24.1,2732,375,38,62,83,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,49,1,171,72,1.6,24.6,2735,376,38,58,83,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
1,51,1,174,69,1.4,22.8,2504,344,35,55,76,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,53,1,182,87,1.9,26.3,3412,469,48,70,104,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,55,1,176,66,1.6,21.3,2607,358,36,53,79,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,57,1,174,68,1.4,22.5,2424,333,34,54,74,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,59,1,183,70,1.4,20.9,2507,344,35,56,76,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,61,1,173,71,1.4,23.7,2417,332,34,57,74,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
1,63,1,179,61,1.4,19,2296,315,32,49,70,3.7,0.9,90,0.015,1.7,15,0.12,0.0024,1000,2000,4,8,420,3400,11,2000,45,40
0,12,1,140,39,1.4,19.9,1828,251,26,37,61,2.1,0.6,45,0.015,1,11,0.06,0.0018,1300,2300,2,8,240,2300,8,3000,40,23
0,13,1,143,45,1.4,22,1932,265,27,43,64,2.1,0.6,45,0.015,1,11,0.06,0.0018,1300,2300,2,8,240,2300,8,3000,40,23
0,14,1,143,36,1.6,18.1,1835,252,26,31,61,2.3,0.7,65,0.015,1.2,15,0.075,0.0024,1300,2300,3,15,360,2300,9,3000,45,34
0,15,1,150,45,1.6,20,2083,286,29,38,69,2.3,0.7,65,0.015,1.2,15,0.075,0.0024,1300,2300,3,15,360,2300,9,3000,45,34
0,16,1,149,49,1.4,22.1,1991,274,28,42,66,2.3,0.7,65,0.015,1.2,15,0.075,0.0024,1300,2300,3,15,360,2300,9,3000,45,34
0,17,1,157,42,1.4,17,1968,270,28,36,66,2.3,0.7,65,0.015,1.2,15,0.075,0.0024,1300,2300,3,15,360,2300,9,3000,45,34
0,18,1,153,43,1.4,18.4,1909,262,27,37,63,2.3,0.7,65,0.015,1.2,15,0.075,0.0024,1300,2300,3,15,360,2300,9,3000,45,34
0,18,1,148,39,1.4,17.8,1786,245,25,33,59,2.3,0.7,65,0.015,1.2,15,0.075,0.0024,1300,2300,3,15,360,2300,9,3000,45,34
0,19,1,163,45,1.6,16.9,2198,302,31,36,67,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,19,1,158,58,1.4,23.2,2190,301,31,46,67,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,20,1,157,46,1.6,18.7,2164,297,30,37,66,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,21,1,177,53,1.9,17.6,2661,365,37,44,81,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,22,1,159,52,1.6,20.6,2238,308,31,42,68,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,23,1,164,61,1.4,22.7,2237,308,31,49,68,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,24,1,160,64,1.4,25,2240,308,31,51,68,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,25,1,157,41,1.9,16.6,2276,313,32,33,70,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,26,1,174,68,1.6,22.5,2505,344,35,54,76,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,27,1,169,69,1.4,24.2,2340,321,33,55,71,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,28,1,157,57,1.9,23.1,2455,337,34,46,75,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,29,1,180,62,1.9,19.1,2720,374,38,50,83,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,30,1,159,49,1.6,19.4,2144,294,30,39,65,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,30,1,179,76,1.4,23.7,2470,339,35,61,75,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,31,1,162,66,1.9,25.1,2593,356,36,53,79,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,32,1,178,66,1.9,20.8,2731,375,38,53,83,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,33,1,161,59,1.6,22.8,2260,310,32,47,69,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,34,1,159,65,1.4,25.7,2176,299,30,52,66,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,34,1,179,67,1.9,20.9,2739,376,38,54,84,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,35,1,160,58,1.6,22.7,2227,306,31,46,68,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,36,1,158,54,1.4,21.6,2022,278,28,43,62,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,37,1,180,63,1.9,19.4,2676,368,37,50,81,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,38,1,164,81,1.4,30.1,2375,331,33,65,72,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,39,1,173,63,1.6,21,2346,322,33,50,71,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,18,1,159,46,1.4,18.2,2030,279,28,39,67,2.3,0.7,65,0.015,1.2,15,0.075,0.0024,1300,2300,3,15,360,2300,9,3000,45,34
0,39,1,167,68,1.4,24.4,2230,306,31,54,68,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,40,1,175,65,1.6,21.2,2376,326,33,52,72,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,41,1,160,59,1.6,23,2197,302,31,47,67,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,42,1,169,68,1.6,23.8,2360,325,33,54,72,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,43,1,172,63,1.4,21.3,2174,299,30,50,66,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,44,1,161,63,1.4,24.3,2095,288,29,50,64,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,45,1,157,50,1.6,20.3,2039,280,29,40,62,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,46,1,154,47,1.9,19.8,2176,304,30,38,66,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,47,1,168,54,1.6,19.1,2146,295,30,43,63,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,48,1,161,71,1.4,27.4,2164,297,30,57,66,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,49,1,165,61,1.4,22.4,2062,283,29,49,63,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,50,1,159,59,1.4,23.3,1991,274,28,47,60,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,51,1,170,70,1.4,24.2,2190,301,31,56,67,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,52,1,162,55,1.4,21,1948,268,27,44,59,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,53,1,156,50,1.6,20.5,1976,271,28,40,60,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,54,1,163,63,1.4,23.7,2038,280,29,50,62,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,55,1,160,65,1.4,25.4,2035,280,28,52,62,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,56,1,171,57,1.9,19.5,2386,328,33,46,73,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,57,1,149,53,1.4,23.9,1803,248,25,42,55,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,58,1,162,55,1.6,21,2042,326,29,44,62,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,59,1,168,65,1.6,23,2197,302,29,52,67,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,60,1,166,68,1.4,24.7,2076,285,29,54,63,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,61,1,157,51,1.4,20.7,1804,248,25,41,55,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,62,1,158,57,1.4,22.8,1876,258,26,46,57,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,63,1,152,61,1.4,26.4,1878,258,26,49,57,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,19,1,179,61,1.9,19,2768,380,39,49,85,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,23,1,160,49,1.6,19.1,2200,303,31,39,67,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,24,1,174,68,1.4,22.5,2381,327,33,54,73,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,26,1,165,58,1.6,21.3,2323,319,33,46,71,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,31,1,170,70,1.6,24.2,2469,339,35,56,75,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,36,1,166,68,1.4,24.7,2245,309,31,54,68,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,40,1,170,59,1.9,20.4,2514,346,35,47,77,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
0,53,1,160,67,1.4,26.2,2074,285,29,54,63,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
0,55,1,163,54,1.4,20.3,1922,264,27,43,59,2.7,0.7,75,0.015,1.5,15,0.09,0.0024,1200,2000,3,8,320,2600,8,2000,45,40
1,25,1,179,69,1.6,21.5,2999,412,42,55,92,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,400,3400,11,2500,45,40
1,31,1,186,80,1.6,23.1,3155,434,44,64,96,3.7,0.9,90,0.015,1.3,15,0.12,0.0024,1000,2300,4,8,420,3400,11,2500,45,40
0,29,1,168,57,1.6,20.2,2309,317,32,46,70,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,310,2600,8,2500,45,40
0,43,1,177,73,1.4,23.3,2329,320,33,58,71,2.7,0.7,75,0.015,1.3,15,0.09,0.0024,1000,2300,3,18,320,2600,8,2500,45,40
